Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID,Log_Sales,Log_ShiipingCost,Log_Quantity,Log_Profit
18606,Not Specified,0.01,2.88,0.5,2,Janice Fletcher,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 49,0.36,Central,Illinois,Addison,60101,2012-05-28,2012-05-30,1.32,2,5.9,88525,1.7749523509116738,-0.6931471805599453,0.6931471805599453,0.27763173659827955
20847,High,0.01,2.84,0.93,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,0.54,West,Washington,Anacortes,98221,2010-07-07,2010-07-08,4.56,4,13.01,88522,2.565718292524414,-0.07257069283483537,1.3862943611198906,1.5173226235262947
23086,Not Specified,0.03,6.68,6.15,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1968,0.37,West,Washington,Anacortes,98221,2011-07-27,2011-07-28,-47.64,7,49.92,88523,3.9104217240611723,1.8164520818184267,1.9459101490553132,
23087,Not Specified,0.01,5.68,3.6,3,Bonnie Potter,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Preferred Stainless Steel Scissors,0.56,West,Washington,Anacortes,98221,2011-07-27,2011-07-28,-30.51,7,41.64,88523,3.7290612437467683,1.2809338454620642,1.9459101490553132,
23088,Not Specified,0.0,205.99,2.5,3,Bonnie Potter,Express Air,Corporate,Technology,Telephones and Communication,Small Box,V70,0.59,West,Washington,Anacortes,98221,2011-07-27,2011-07-27,998.2022999999999,8,1446.67,88523,7.277019642571152,0.9162907318741551,2.0794415416798357,6.90595596118032
23597,Medium,0.09,55.48,14.3,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,West,Washington,Anacortes,98221,2011-11-09,2011-11-11,1388.0522999999998,37,2011.67,88524,7.606720501862978,2.6602595372658615,3.6109179126442243,7.235656820472146
25549,Low,0.08,120.97,26.3,3,Bonnie Potter,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Canon S750 Color Inkjet Printer,0.38,West,Washington,Anacortes,98221,2013-07-01,2013-07-08,1001.4452999999999,12,1451.37,88526,7.280263216932193,3.269568939183719,2.4849066497880004,6.909199535541361
20228,Not Specified,0.02,500.98,26.0,5,Ronnie Proctor,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,0.6,West,California,San Gabriel,91776,2010-12-13,2010-12-15,4390.3665,12,6362.85,90193,8.758231669168977,3.258096538021482,2.4849066497880004,8.387167987778144
19483,Low,0.08,6.48,6.81,5,Ronnie Proctor,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1930,0.36,West,California,San Gabriel,91776,2012-05-12,2012-05-21,-141.26,18,113.25,90197,4.7295977643631435,1.918392120161421,2.8903717578961645,
24782,High,0.01,90.24,0.99,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center,0.56,West,California,San Jose,95123,2011-05-26,2011-05-26,1045.4673,16,1515.17,90194,7.323282922869383,-0.01005033585350145,2.772588722239781,6.952219241478551
24563,Critical,0.07,6.48,6.6,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 21,0.37,West,California,San Jose,95123,2012-12-29,2012-12-31,-13.86,4,28.61,90200,3.3537563070620187,1.8870696490323797,1.3862943611198906,
